,ticker,optionType,strike,expirationDate,volume,impliedVolatility,lastPrice,change,percentChange,delta,gamma,theta,vega,rho,moneyness,intrinsic_value,openInterest,bid,ask
12320,AMD,Call,165,2025-09-12T00:00:00.000,50448,0.699892241916902,0.47,0.16999999,56.666656,0.15676577135772846,0.04124296300051771,-1.0159297150135087,0.01996680882145394,0.0006695698057441616,0.9630000258937027,0,17662,0.46,0.48
12319,AMD,Call,162.5,2025-09-12T00:00:00.000,49504,0.6717939715795116,0.9,0.33999997,59.64911,0.2685161560169964,0.0590149886025185,-1.3408403963530082,0.027423700136601246,0.0011442705686998751,0.9778154109074519,0,8325,0.9,0.91
12318,AMD,Call,160,2025-09-12T00:00:00.000,39656,0.6580999027730111,1.69,0.6700001,65.68629,0.42826934909877906,0.0717063463209462,-1.5662524593588134,0.03264202120059096,0.0018180783576661524,0.9930937767028809,0,19413,1.69,1.72
12385,AMD,Put,160,2025-09-12T00:00:00.000,29891,0.7017140506047069,2.92,-2.1799998,-42.745094,0,0.06740712895753521,0,0.032718518009059186,0,0.9930937767028809,1.1049957275390625,3420,2.88,2.93
12384,AMD,Put,157.5,2025-09-12T00:00:00.000,21447,0.695540018180947,1.66,-1.6899999,-50.44776,0,0.06661241647365061,0,0.03204829522343682,0,1.0088571699838789,0,2540,1.67,1.7
12321,AMD,Call,167.5,2025-09-12T00:00:00.000,21024,0.7373955514265199,0.25,0.09,56.25,0.08942882981605393,0.026353666742063752,-0.720063065307574,0.013442163841669429,0.0003824601176904948,0.9486268911788712,0,7755,0.24,0.25
12383,AMD,Put,155,2025-09-12T00:00:00.000,18332,0.7270360580020045,0.92,-1.1699998,-55.980858,0,0.05256788716263907,0,0.026436508337325217,0,1.0251290598223286,0,8090,0.9,0.92
12322,AMD,Call,170,2025-09-12T00:00:00.000,15368,0.7825061014967578,0.14,0.049999997,49.999992,0.051953211204465326,0.016338214681738378,-0.5024407411637214,0.008843413912905539,0.00022233166346031727,0.9346764957203585,0,11710,0.14,0.15
12438,AMD,Call,165,2025-09-19T00:00:00.000,14486,0.4619174041753374,2.06,0.6999999,51.47058,0.3070245964610475,0.032330464596708706,-0.3529822498563971,0.08264067962337966,0.010241024562504933,0.9630000258937027,0,17528,2.04,2.07
12323,AMD,Call,172.5,2025-09-12T00:00:00.000,13917,0.8435508451259744,0.09,0.030000005,50.000008,0.03317300058459944,0.010538805259868615,-0.3764900872957233,0.006149364919178396,0.00014194586492110347,0.9211304595504982,0,5225,0.08,0.09
12687,AMD,Call,180,2025-10-03T00:00:00.000,12775,0.4487025881097041,1.25,0.39,45.348835,0.14567949911939948,0.013062297649051246,-0.1352185672417898,0.08919252375099235,0.01319864060190995,0.8827500237358941,0,936,1.25,1.27
12440,AMD,Call,170,2025-09-19T00:00:00.000,12331,0.4683455724693885,1.02,0.33999997,47.88732,0.17696741195482385,0.023563529844846987,-0.2632199984805503,0.06106950169791431,0.005939558943265334,0.9346764957203585,0,20116,1.02,1.04
12381,AMD,Put,150,2025-09-12T00:00:00.000,11685,0.809117380464688,0.26,-0.38,-60.31746,0,0.02275034229427137,0,0.012732892929506434,0,1.059300028483073,0,11313,0.26,0.27
12436,AMD,Call,160,2025-09-19T00:00:00.000,11673,0.4638513449904711,3.9,1.22,45.52239,0.47854122907949975,0.03650846456133659,-0.4049472038038767,0.0937108758564548,0.01581102698939963,0.9930937767028809,0,16508,3.8,3.9
13555,AMD,Call,200,2026-05-15T00:00:00.000,10702,0.4597104384710541,12.25,1.3000002,11.872148,0.3633610818651075,0.006258516523842724,-0.0734767843570245,0.4895741708982857,0.30656493482819075,0.7944750213623046,0,10785,12.15,12.3
12316,AMD,Call,155,2025-09-12T00:00:00.000,10010,0.6879856713915714,4.73,1.73,57.666668,0.7612238318095452,0.05417855739595073,-1.3030727785840392,0.025783059560232035,0.003184237370073336,1.0251290598223286,3.8950042724609375,10674,4.65,4.75
12437,AMD,Call,162.5,2025-09-19T00:00:00.000,9707,0.460161080564447,2.85,0.91999996,47.668392,0.38882661242638306,0.03541412875351781,-0.3850068788432586,0.09017871751563082,0.012916735614846391,0.9778154109074519,0,4536,2.82,2.85
12566,AMD,Call,180,2025-09-26T00:00:00.000,9407,0.4673731149927808,0.73,0.25000003,52.083344,0.10536497166398007,0.012108671393660913,-0.1350409774347778,0.05871906081654332,0.006580260666869521,0.8827500237358941,0,2032,0.73,0.74
12317,AMD,Call,157.5,2025-09-12T00:00:00.000,9381,0.6729690468534386,3,1.18,64.83516,0.6068288786275783,0.06870624096919917,-1.5735783628884479,0.031982977986879,0.0025595089660871706,1.0088571699838789,1.3950042724609375,12218,2.97,3.05
12434,AMD,Call,155,2025-09-19T00:00:00.000,7488,0.46273241720849345,6.6,1.6999998,34.693874,0.658852377112466,0.033704473027736125,-0.37709375307366444,0.0863048248240069,0.02149881671807262,1.0251290598223286,3.8950042724609375,18955,6.6,6.65
